split,model,exact_match,boundary_f1,avg_segments_per_word,oov_rate,selected_vocab_size
val,morfessor_type,0.181,0.40609137055837563,1.665,0.294,
val,morfessor_token,0.41,0.686830497794581,2.869,0.294,
val,morfessor_frequency,0.181,0.4095904095904096,1.697,0.294,
val,bpe,0.086,0.20463489287275907,1.982,0.294,8000
val,wordpiece,0.142,0.2577777777777777,1.945,0.294,8000
test,morfessor_type,0.169,0.3988065638985579,1.712,0.326,
test,morfessor_token,0.359,0.6635630043451273,2.923,0.326,
test,morfessor_frequency,0.172,0.40433925049309666,1.729,0.326,
test,bpe,0.1,0.23053501522401046,2.0,0.326,8000
test,wordpiece,0.142,0.26360017691287047,1.962,0.326,8000
